family,dataset,n,p,density,Blitz,Celer,Hessian,Working
Gaussian,e2006-log1p,16087,4272227,0.0014074729668371701,773.596590163,946.907623058,232.75201731800001,523.704975536
Gaussian,e2006-tfidf,16087,150360,0.00825643866543507,376.08790706800005,317.927107739,73.291621608,225.59652871699998
Gaussian,YearPredictionMSD,463715,90,1,739.1888864729999,758.760338576,87.630249483,575.628652152
